1,5,2,1798,0,4805,9805,4805,198,65,21,21,21,0,0,0,0,0,0,0,0,
3,27,41,5537,22,255,5,319,91,255,2255,6,0,0,0,0,0,0,0,0,0,
3,3873,2071,6887,6888,6889,6890,6891,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,13,2396,78,2397,330,5,10,2,1515,50,3401,15,248,5,407,40,115,95,0,0,
1,1,0,1208,1760,177,10,3,152,8,87,379,3,2016,1,0,1208,210,2,8241,8242,
3,3151,2373,10113,4898,10114,3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,4,32,19,140,1,380,11652,11653,11654,0,459,185,706,6,0,0,0,0,0,0,
0,716,149,8383,76,4368,4369,76,3991,3767,371,4368,4369,4370,1684,0,1340,110,107,0,0,
4,72,24,9737,67,4786,73,44,2251,9738,563,942,391,9,24,0,25,1373,65,0,0,
3,98,55,190,1073,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,5030,11,3148,5031,10698,3,10699,33,3,5030,11,3148,122,5,31,5031,0,0,0,0,
3,7475,171,4101,63,7476,24,0,140,1716,65,0,0,0,0,0,0,0,0,0,0,
4,2382,5862,8,56,109,18,9,1,441,1896,3407,80,56,109,18,39,9,0,0,0,
2,6748,8,28,5,107,385,34,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,172,1151,4845,0,41,3,226,9900,366,4846,59,4845,3010,0,0,0,0,0,0,0,
1,560,85,872,1235,3841,136,767,316,0,0,0,0,0,0,0,0,0,0,0,0,
4,28,3541,981,127,4,118,324,28,3541,112,118,117,4,496,1953,0,0,0,0,0,
0,4240,4241,4242,18,125,8,302,4240,4241,4242,18,125,8,0,0,0,0,0,0,0,
0,2566,2828,1726,801,0,2836,394,61,7630,0,7631,4152,2837,265,7632,0,0,0,0,0,
1,4445,8616,178,387,1,150,1004,85,4463,1914,565,90,8617,513,85,96,1560,0,0,0,
4,1545,48,359,6258,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,4455,9601,4,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,815,85,0,1,27,16,1211,2565,6,1,2,48,815,85,0,512,202,15,54,148,
4,271,4708,4858,936,1287,4858,936,1287,7,2200,33,31,254,89,31,4,32,24,0,0,
1,1174,201,77,28,6997,2584,233,63,10,65,0,0,0,0,0,0,0,0,0,0,
4,3965,14,2659,7150,1154,7151,7152,55,0,7153,659,136,2102,79,0,0,0,0,0,0,
4,6837,3,6,140,1,3850,45,32,140,2066,587,3,6,0,0,0,0,0,0,0,
4,1017,2394,70,67,119,417,447,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,4,32,148,64,9253,3061,0,6,453,72,9254,9255,9256,34,731,453,9257,0,0,0,
1,2936,52,403,8230,235,150,871,85,4337,79,4,90,257,8231,334,0,0,0,0,0,
4,1227,213,435,8416,157,21,21,8417,0,722,4382,2,8418,0,286,2389,937,8419,154,35,
2,2313,19,80,11,1497,338,42,4301,670,6,0,0,0,0,0,0,0,0,0,0,
4,2678,659,583,62,6958,70,67,436,1075,1,20,117,4,6959,7,214,0,0,0,0,
4,465,157,11632,374,207,536,3,13,57,973,4,154,6,0,0,0,0,0,0,0,
4,8,12,16,410,686,3,7195,120,221,2,25,3982,665,1262,997,3983,2104,1410,0,0,
